11:32:59.530 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 2.800 TARGET 1
	
11:33:13.531 2023/08/18	WPSEL GOTO L/2	
11:33:13.875 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED BUSY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 10.000 TARGET 1
	
11:33:27.125 2023/08/18	GFOC GOTO 2.800000	
11:33:27.561 2023/08/18	WPROT SIMULATED BUSY 0.000 NONE -1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 10.000 TARGET 1
	
11:34:36.830 2023/08/18	WPSEL GOTO L/4	
11:34:36.838 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED BUSY 160.000 L/2 3, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 2.800 TARGET 1
	
11:35:00.106 2023/08/18	GFOC GOTO 3.300000	
11:35:00.584 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 2.800 TARGET 1
	
11:49:51.852 2023/08/18	WPSEL INIT NONE, GMIR INIT NONE, CALW INIT NONE	
11:49:51.921 2023/08/18	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED BUSY 0.000 NONE -1, CALW SIMULATED BUSY 0.000 NONE -1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED BUSY 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
11:49:59.674 2023/08/18	GFOC INIT NONE, ASEL INIT NONE	
11:49:59.689 2023/08/18	WPROT SIMULATED BUSY 84.903 NONE -1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED BUSY 0.000 NONE -1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 0.000 NONE -1
	
11:50:06.487 2023/08/18	WPSEL GOTO OFF	
11:50:06.497 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED BUSY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 0.000 OFF 1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
11:50:32.682 2023/08/18	GFOC GOTO 9.600000	
