15:30:00.074 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 194.984 TARGET 1, GFOC SIMULATED READY 0.550 TARGET 1
	
15:30:01.080 2023/08/07	GMIR STOP NONE	
15:30:01.088 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 195.921 NONE -1, GFOC SIMULATED READY 0.550 TARGET 1
	
15:30:02.364 2023/08/07	GMIR STOP NONE	
15:30:02.371 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 195.971 NONE -1, GFOC SIMULATED READY 0.550 TARGET 1
	
15:30:02.424 2023/08/07	ActiveGoto GMIR: TIMEOUT	
15:30:06.619 2023/08/07	GMIR STOP NONE	
15:30:06.627 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 195.971 NONE -1, GFOC SIMULATED READY 0.550 TARGET 1
	
15:30:06.681 2023/08/07	ActiveGoto GMIR: TIMEOUT	
15:30:12.318 2023/08/07	GMIR STOP NONE	
15:30:12.324 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 195.971 NONE -1, GFOC SIMULATED READY 0.550 TARGET 1
	
15:30:12.387 2023/08/07	ActiveGoto GMIR: TIMEOUT	
15:30:24.337 2023/08/07	GMIR STOP NONE	
15:30:24.344 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 195.971 NONE -1, GFOC SIMULATED READY 0.550 TARGET 1
	
